"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify downloaded PDF from file-examples.com contains expected text
","48968","VerifyDownloadedPdfFromFileExamples","","Thu Aug 28 15:28:26 UTC 2025","broken","Thu Aug 28 15:29:15 UTC 2025","","","FileExamplesPdfTest","VerifyDownloadedPdfFromFileExamples"
"","5001","ParallelTest1","","Thu Aug 28 15:28:33 UTC 2025","passed","Thu Aug 28 15:28:38 UTC 2025","","Smoke","LoginTest","ParallelTest1"
"","7058","ParallelTest","","Thu Aug 28 15:28:26 UTC 2025","passed","Thu Aug 28 15:28:33 UTC 2025","","Smoke","LoginTest","ParallelTest"
"","4835","ParallelTest3","","Thu Aug 28 15:28:38 UTC 2025","passed","Thu Aug 28 15:28:43 UTC 2025","","Smoke","LoginTest","ParallelTest3"
"Checks that a user can log in using correct email and password.Verify user login with valid credentials
","4797","ValidLoginShouldSucceed","","Thu Aug 28 15:28:39 UTC 2025","passed","Thu Aug 28 15:28:44 UTC 2025","","Smoke","LoginTest","ValidLoginShouldSucceed"
"","5719","ParallelTest2","","Thu Aug 28 15:28:33 UTC 2025","passed","Thu Aug 28 15:28:39 UTC 2025","","Smoke","LoginTest","ParallelTest2"
"","6977","InvalidLoginShouldDisplayError","","Thu Aug 28 15:28:26 UTC 2025","failed","Thu Aug 28 15:28:33 UTC 2025","","Smoke","LoginTest","InvalidLoginShouldDisplayError"
